hash,source,title,summary,link,published,mentioned_tickers,fetched_at
694bc065d71d105cb580e655464b5d1a,moneycontrol_market,"Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher","<img align="" left"" alt=""Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/v/volatile_market1_200.jpg"" title=""Taking Stock: Market fails to hold on to day#39;s gains, ends marginally higher"" width=""75"" /> Grasim Industries, Bharti Airtel, Nestle India, Maruti Suzuki and HCL Technologies were the biggest Nifty gainers, while losers included Sun Pharma, BPCL, Reliance Ind",https://www.moneycontrol.com/news/local-markets/taking-stock-market-fails-to-holdto-day39s-gains-ends-marginally-higher_17531871.html,"Tue, 23 Apr 2024 15:46:31 +0530","MARUTI,BPCL,RELIANCE,HINDALCO,LT,GRASIM",2025-12-14T23:25:35.714641
1df8a8ade41a6cf3258290ddd47dbf9b,moneycontrol_market,"Sensex, Nifty gain for third day in a row; easing volatility to support bull trend","<img align="" left"" alt=""Sensex, Nifty gain for third day in a row; easing volatility to support bull trend"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/S/Share-Market-New-4-4_200.jpg"" title=""Sensex, Nifty gain for third day in a row; easing volatility to support bull trend"" width=""75"" /> Analysts expect the market to maintain the bullish undertone as elections and corporate earnings season continue",https://www.moneycontrol.com/news/local-markets/sensex-nifty-gain-for-third-daya-row-easing-volatility-to-support-bull-trend_17531821.html,"Tue, 23 Apr 2024 14:51:26 +0530",LT,2025-12-14T23:25:35.714730
465f530149ca2bf8b78e216ac965bf51,moneycontrol_market,"Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years","<img align="" left"" alt=""Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/N/Nifty_sensex_marketup-4_200.jpg"" title=""Mid-day Mood | Cooling volatility sparks market rally, India VIX sees steepest fall in 4 years"" width=""75"" /> Broader markets outperformed benchmarks, with the BSE Midcap and BSE Smallcap rising up to 0.9 percent",https://www.moneycontrol.com/news/local-markets/mid-day-mood-|-cooling-volatility-sparks-market-rally-india-vix-sees-steepest-fall4-years_17531481.html,"Tue, 23 Apr 2024 12:23:21 +0530",LT,2025-12-14T23:25:35.714805
c28311525c138b45a6683bc786292c1d,moneycontrol_market,"Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action","<img align="" left"" alt=""Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/M/Market_up_200.jpg"" title=""Sensex, Nifty extend gains to 3rd day, Q4 results to guide stock-specific action"" width=""75"" /> India VIX, which measures near-term volatility saw a sharp fall of 18 percent to trade around 10.42",https://www.moneycontrol.com/news/local-markets/sensex-nifty-extend-gains-to-3rd-day-q4-results-to-guide-stock-specific-action_17530901.html,"Tue, 23 Apr 2024 09:45:50 +0530",LT,2025-12-14T23:25:35.714866
657b5ce765b85a23d2e2542118b617be,moneycontrol_business,ICICI Prudential Life Insurance to focus on growing absolute VNB amid slump in FY24,"<img align="" left"" alt=""ICICI Prudential Life Insurance to focus on growing absolute VNB amid slump in FY24"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2023/200x200/I/ICICI-Prudential-life_200.jpg"" title=""ICICI Prudential Life Insurance to focus on growing absolute VNB amid slump in FY24"" width=""75"" /> In its Q4FY24 results, the company#39;s VNB fell 19.45 percent to Rs 2,227 crore for FY24",https://www.moneycontrol.com/news/business/icici-prudential-life-insurance-to-focusgrowing-absolute-vnb-amid-slumpfy24_17532041.html,"Tue, 23 Apr 2024 22:36:32 +0530",LT,2025-12-14T23:25:36.945232
23dc2fca4b5761dfcf999f6e209ec2a8,moneycontrol_business,"Tata Elxsi Q4 net profit, revenue decline QoQ; firm declares dividend of Rs 70 per share","<img align="" left"" alt=""Tata Elxsi Q4 net profit, revenue decline QoQ; firm declares dividend of Rs 70 per share"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2020/200x200/T/TATA-ELXSI_200.jpg"" title=""Tata Elxsi Q4 net profit, revenue decline QoQ; firm declares dividend of Rs 70 per share"" width=""75"" /> The net profit was down 4.6 percent quarter-on-quarter compared to the October to December period of FY24 and 2.32 percent against the March quarter of FY2",https://www.moneycontrol.com/news/business/tata-elxsi-q4-net-profit-revenue-decline-qoq-firm-declares-dividendrs-70-per-share_17532061.html,"Tue, 23 Apr 2024 18:51:45 +0530",LT,2025-12-14T23:25:36.945321
6cb840f8b12c5501fbd0c1585cfdcad8,moneycontrol_business,"ICICI Pru Life Q4 net profit falls 26% to Rs 174 cr, insurer announces dividend","<img align="" left"" alt=""ICICI Pru Life Q4 net profit falls 26% to Rs 174 cr, insurer announces dividend"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2023/200x200/I/ICICI-Prudential-life_200.jpg"" title=""ICICI Pru Life Q4 net profit falls 26% to Rs 174 cr, insurer announces dividend"" width=""75"" /> Net premium income rose to Rs 14,788 crore",https://www.moneycontrol.com/news/business/icici-pru-life-q4-net-profit-falls-26-to-rs-174-cr-insurer-announces-dividend_17532101.html,"Tue, 23 Apr 2024 18:26:16 +0530",LT,2025-12-14T23:25:36.945390
0f6592d53d70ecad37dd195d7481e757,moneycontrol_business,Cyient DLM#39;s profit after tax in FY24 surges 93%,"<img align="" left"" alt=""Cyient DLM#39;s profit after tax in FY24 surges 93%"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2023/200x200/s/shutterstock_2170560599_200.jpg"" title=""Cyient DLM#39;s profit after tax in FY24 surges 93%"" width=""75"" /> For the full year, the company#39;s revenue stood at Rs 1,192 crore, which was 43.2 percent higher compared to the same period of the past financial year",https://www.moneycontrol.com/news/business/cyient-dlm39s-profit-after-taxfy24-surges-93_17532091.html,"Tue, 23 Apr 2024 17:56:47 +0530",LT,2025-12-14T23:25:36.945456
8e16487e93499af243009d973b381653,moneycontrol_business,"Tata Consumer Q4 net profit falls 19% to Rs 217 cr, firm declares dividend of Rs 7.75 per share","<img align="" left"" alt=""Tata Consumer Q4 net profit falls 19% to Rs 217 cr, firm declares dividend of Rs 7.75 per share"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/t/tcpl_200.jpg"" title=""Tata Consumer Q4 net profit falls 19% to Rs 217 cr, firm declares dividend of Rs 7.75 per share"" width=""75"" /> Revenue increased 8.5 percent to Rs 3,927 crore in the three months ended March 31.",https://www.moneycontrol.com/news/business/tata-consumer-q4-net-profit-falls-19-to-rs-217-cr-firm-declares-dividendrs-775-per-share_17532071.html,"Tue, 23 Apr 2024 16:27:47 +0530",LT,2025-12-14T23:25:36.945532
c61af112d495466a548187a55fef2a56,moneycontrol_business,"Tata Consumer Q4 net profit falls 19% to Rs 217 cr, firm declares dividend of Rs 7.75 per share","<img align="" left"" alt=""Tata Consumer Q4 net profit falls 19% to Rs 217 cr, firm declares dividend of Rs 7.75 per share"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2024/200x200/t/tcpl_200.jpg"" title=""Tata Consumer Q4 net profit falls 19% to Rs 217 cr, firm declares dividend of Rs 7.75 per share"" width=""75"" /> Revenue increased 8.5 percent to Rs 3,927 crore in the three months ended March 31.",https://www.moneycontrol.com/news/business/tata-consumer-q4-net-profit-falls-19-to-rs-217-cr-firm-declares-dividendrs-775-per-share_17532081.html,"Tue, 23 Apr 2024 16:27:47 +0530",LT,2025-12-14T23:25:36.945595
7c0699730b7536b5c24eafaa077aa1f7,moneycontrol_business,"Hindustan Unilever Q4 Preview: Price cuts, slow demand, regional competition to hurt topline","<img align="" left"" alt=""Hindustan Unilever Q4 Preview: Price cuts, slow demand, regional competition to hurt topline"" border=""0"" height=""75"" hspace=""5"" src=""https://www.moneycontrol.com/news_image_files/2020/200x200/H/HUL_HIndustan-Unilever_200.jpg"" title=""Hindustan Unilever Q4 Preview: Price cuts, slow demand, regional competition to hurt topline"" width=""75"" /> The hike in royalty payments to parent Unilever are likely to adversely impact HUL#39;s EBITDA margins, say experts",https://www.moneycontrol.com/news/business/hindustan-unilever-q4-preview-price-cuts-slow-demand-regional-competition-to-hurt-topline_17531901.html,"Tue, 23 Apr 2024 16:05:45 +0530",LT,2025-12-14T23:25:36.945678
